ACC_STD_LAT_NBR,ACC_STD_LON_NBR,CAT Severity Code,ACC_PST_LOC_CD,Loss Date,NOL Date
33.460901,-86.80868099999999,3.0,35209,2023-12-09,2023-12-10
33.463252,-86.808134,5.0,35209,2023-12-10,2023-12-10
33.464481,-86.739108,5.0,35243,2023-12-10,2023-12-11
34.814225,-87.550433,2.0,35661,2023-12-09,2023-12-21
33.901793999999995,-84.548282,3.0,30060,2023-12-10,2023-12-10
33.868688999999996,-84.502619,3.0,30080,2023-12-10,2023-12-22
34.218333,-90.57813999999999,3.0,38614,2023-12-09,2023-12-20
34.228179,-90.57149299999999,3.0,38614,2023-12-09,2023-12-27
33.429331999999995,-87.057093,1.0,35023,2023-12-09,2023-12-11
33.469072,-86.776597,3.0,35209,2023-12-10,2023-12-13
33.470515,-86.781893,4.0,35209,2023-12-09,2023-12-10
33.509387,-86.891505,3.0,35218,2023-12-09,2023-12-11
33.504923,-86.722346,5.0,35213,2023-12-09,2023-12-11
33.464234,-86.7409,5.0,35243,2023-12-10,2023-12-10
33.428663,-86.816334,2.0,35226,2023-12-09,2023-12-10
33.265882999999995,-86.820319,2.0,35007,2023-12-09,2023-12-10
33.466958999999996,-86.810285,1.0,35209,2023-12-10,2023-12-10
33.480185999999996,-86.67947,3.0,35242,2023-12-09,2023-12-10
33.479802,-86.734397,2.0,35223,2023-12-11,2023-12-11
33.468058,-86.625275,4.0,35094,2023-12-10,2023-12-11
33.462554,-86.809623,5.0,35209,2023-12-10,2023-12-11
33.510981,-86.847124,5.0,35204,2023-12-09,2023-12-11
33.440559,-86.806764,3.0,35216,2023-12-09,2023-12-11
33.46407,-86.809805,3.0,35209,2023-12-10,2023-12-11
34.042415999999996,-85.970056,3.0,35901,2023-12-09,2023-12-12
33.460421,-86.88317599999999,5.0,35221,2023-12-09,2023-12-12
33.454238,-86.802436,1.0,35216,2023-12-10,2023-12-12
33.4696,-86.79856,3.0,35209,2023-12-10,2023-12-12
33.514412,-86.696429,3.0,35223,2023-12-10,2023-12-12
33.266456,-86.843744,3.0,35080,2023-12-11,2023-12-13
33.417729,-86.849323,1.0,35226,2023-12-10,2023-12-13
